Concurso;Data_Sorteio;B1;B2;B3;B4;B5;B6;B7;Ganhadores_7_Números;OS1;OS2;OS3;OS4;OS5;OS6;OS7
164;15/06/2019;7;10;12;13;17;21;22;0;22;10;17;7;13;12;21
165;18/06/2019;4;5;7;8;11;19;24;0;4;8;11;19;24;7;5
166;22/06/2019;6;7;11;19;22;23;25;1;6;22;23;7;11;25;19
167;25/06/2019;10;11;12;13;15;20;26;0;10;11;15;20;12;26;13
168;27/06/2019;1;3;4;20;23;25;26;0;1;23;25;4;3;20;26
169;29/06/2019;9;11;14;18;24;26;29;0;9;18;14;29;24;11;26
170;02/07/2019;1;9;10;11;15;20;21;0;9;1;10;21;11;20;15
171;04/07/2019;3;7;11;18;20;23;29;2;3;20;23;11;18;29;7
172;06/07/2019;3;6;10;21;25;27;30;0;25;21;10;27;3;30;6
173;09/07/2019;2;7;11;13;25;27;28;0;28;7;25;27;11;13;2
174;11/07/2019;3;5;6;7;17;19;25;2;7;3;19;17;6;25;5
175;13/07/2019;4;6;7;17;21;26;31;3;21;4;6;26;7;31;17
176;16/07/2019;3;4;6;9;10;18;29;0;18;10;6;29;3;9;4
177;18/07/2019;3;11;17;18;24;25;28;0;3;18;25;17;28;24;11
178;20/07/2019;2;3;4;9;12;23;24;0;24;23;2;3;4;9;12
179;23/07/2019;3;4;5;11;21;24;30;1;5;4;21;11;30;3;24
180;25/07/2019;5;13;20;21;23;25;30;0;5;23;25;20;13;30;21
181;27/07/2019;6;8;10;15;17;26;28;0;10;6;8;17;26;15;28
182;30/07/2019;2;3;7;15;22;26;31;0;26;15;22;7;31;3;2
183;01/08/2019;5;7;16;17;21;24;27;1;24;7;16;27;21;5;17
184;03/08/2019;6;9;10;14;16;17;22;0;10;14;17;6;9;22;16
185;06/08/2019;7;11;18;21;24;28;29;0;18;11;24;29;7;21;28
186;08/08/2019;6;15;17;22;23;26;27;1;17;23;6;22;27;26;15
187;10/08/2019;1;3;6;15;17;23;26;2;1;15;6;26;3;23;17
188;13/08/2019;8;12;21;23;24;26;28;0;26;21;28;8;24;23;12
189;15/08/2019;2;7;13;16;18;20;29;2;20;7;18;29;16;13;2
190;17/08/2019;3;4;5;6;14;16;27;1;16;27;4;5;3;6;14
191;20/08/2019;3;4;11;24;26;28;29;1;28;3;26;29;11;24;4
192;22/08/2019;4;11;14;15;18;28;31;0;4;14;15;11;18;31;28
193;24/08/2019;12;13;16;25;28;30;31;0;30;31;13;28;16;25;12
194;27/08/2019;3;4;7;9;15;21;23;1;4;9;21;15;3;7;23
195;29/08/2019;2;3;5;14;15;22;23;0;23;22;3;14;5;15;2
196;31/08/2019;4;13;14;22;26;29;30;0;29;14;4;13;26;30;22
197;03/09/2019;1;2;4;11;17;18;28;1;28;4;2;17;18;1;11
198;05/09/2019;1;2;9;10;16;23;28;0;16;28;23;10;2;9;1
199;10/09/2019;2;15;20;21;22;23;24;0;15;23;22;21;20;24;2
200;12/09/2019;10;12;13;17;21;23;27;0;17;21;13;12;10;23;27
201;14/09/2019;2;7;9;13;14;16;29;0;13;14;2;16;7;9;29
202;17/09/2019;5;6;7;11;21;26;29;0;5;6;29;7;11;26;21
203;19/09/2019;2;3;7;10;15;17;20;0;20;17;10;2;3;15;7
204;21/09/2019;2;11;20;21;27;28;31;0;11;21;2;31;27;28;20
205;24/09/2019;5;6;9;17;19;20;23;1;5;17;23;6;19;9;20
206;26/09/2019;13;16;21;23;24;27;28;0;21;13;24;27;23;16;28
207;28/09/2019;1;5;8;10;12;25;28;1;12;10;5;28;8;25;1
208;01/10/2019;2;4;17;21;28;29;31;0;17;28;21;4;2;29;31
209;03/10/2019;5;7;14;17;19;23;29;0;17;14;5;29;23;7;19
210;05/10/2019;7;10;18;19;20;23;27;0;18;19;23;27;10;7;20
211;08/10/2019;1;5;13;24;26;27;29;0;5;26;13;24;1;29;27
212;10/10/2019;5;11;14;17;18;26;30;1;5;14;30;18;26;11;17
213;15/10/2019;6;9;10;18;21;24;26;0;21;18;9;26;6;24;10
214;17/10/2019;2;9;11;13;21;28;29;0;29;21;9;28;11;2;13
215;19/10/2019;4;7;11;13;15;18;25;1;13;18;7;4;11;15;25
216;22/10/2019;5;8;9;14;25;28;30;0;30;8;25;28;5;9;14
217;24/10/2019;2;6;16;17;18;20;26;0;16;26;17;2;18;6;20
218;26/10/2019;2;3;11;12;17;18;21;0;12;3;11;2;18;21;17
219;29/10/2019;3;6;10;16;17;25;28;0;3;16;25;28;6;17;10
220;31/10/2019;2;4;9;17;19;25;31;2;25;31;17;2;9;4;19
221;05/11/2019;3;6;7;9;15;27;31;2;7;3;9;15;27;6;31
222;07/11/2019;3;12;13;16;18;19;27;0;18;12;27;19;3;16;13
223;09/11/2019;3;4;10;11;14;19;28;0;3;14;28;4;19;10;11
224;12/11/2019;1;6;8;14;17;19;23;1;8;14;19;1;17;23;6
225;14/11/2019;1;7;12;14;22;24;26;0;7;26;1;22;12;24;14
226;16/11/2019;1;4;8;12;22;24;28;0;12;24;4;28;22;8;1
227;19/11/2019;2;11;12;15;17;20;25;0;20;2;12;17;11;25;15
228;21/11/2019;4;10;14;18;21;22;23;1;23;14;22;21;10;4;18
229;23/11/2019;9;13;15;21;25;27;30;1;27;30;21;15;9;25;13
230;26/11/2019;5;8;12;18;24;27;29;1;12;24;18;27;5;8;29
231;28/11/2019;4;10;12;13;14;24;26;0;10;13;4;12;14;24;26
232;30/11/2019;4;5;6;12;15;16;26;0;16;12;26;5;15;4;6
233;03/12/2019;3;6;7;16;22;23;28;3;16;6;23;22;7;28;3
234;05/12/2019;4;5;13;17;23;24;29;0;29;13;17;24;5;23;4
235;07/12/2019;13;17;18;19;22;27;29;0;19;22;29;17;13;18;27
236;10/12/2019;4;5;6;9;11;19;23;1;5;4;9;19;6;23;11
237;12/12/2019;3;6;14;18;19;29;31;1;6;18;3;31;19;14;29
238;14/12/2019;1;2;10;19;24;26;28;0;28;2;1;26;24;19;10
239;17/12/2019;5;13;15;23;27;29;30;2;15;13;29;5;30;27;23
240;19/12/2019;1;4;8;13;19;22;25;0;22;8;1;19;25;4;13
241;21/12/2019;3;5;6;12;20;23;31;0;23;5;3;31;12;20;6
242;24/12/2019;2;3;5;9;16;19;25;0;9;5;16;25;19;3;2
243;26/12/2019;2;4;8;13;14;17;22;0;17;14;13;8;22;2;4
244;28/12/2019;1;6;12;13;15;16;29;0;6;1;16;13;29;15;12
245;30/12/2019;1;5;7;14;21;30;31;0;30;21;31;1;7;5;14
246;02/01/2020;9;10;14;16;18;19;24;0;14;10;24;18;19;9;16
247;04/01/2020;2;9;10;12;17;25;28;1;25;2;9;10;17;28;12
248;07/01/2020;2;5;14;16;17;18;22;0;18;2;17;22;14;5;16
249;09/01/2020;3;8;12;20;21;27;29;1;8;12;20;29;27;3;21
250;11/01/2020;1;5;10;14;15;29;30;1;14;1;29;30;15;10;5
251;14/01/2020;5;11;14;18;20;27;31;3;27;11;5;18;14;31;20
252;16/01/2020;4;9;12;19;25;28;31;2;19;12;9;25;28;4;31
253;18/01/2020;4;12;14;19;23;28;29;1;29;12;28;4;23;19;14
254;21/01/2020;18;20;21;22;25;27;31;0;27;25;18;31;22;21;20
255;23/01/2020;3;11;23;24;25;28;30;1;25;24;23;30;28;3;11
256;25/01/2020;1;5;12;16;27;30;31;1;27;30;12;1;31;5;16
257;28/01/2020;5;12;17;19;21;24;28;2;21;24;28;12;17;19;5
258;30/01/2020;1;2;3;9;13;24;30;1;30;3;13;9;24;1;2
259;01/02/2020;6;9;10;13;21;26;29;2;9;10;26;21;6;13;29
260;04/02/2020;5;8;10;12;18;24;31;0;24;18;10;31;12;5;8
261;06/02/2020;5;8;9;18;23;26;31;1;9;23;26;18;31;5;8
262;08/02/2020;4;5;17;18;20;27;28;0;17;27;28;4;18;5;20
263;11/02/2020;9;18;19;21;23;27;30;0;21;19;23;30;27;9;18
264;13/02/2020;13;15;22;23;25;30;31;0;30;23;13;25;22;31;15
265;15/02/2020;2;3;14;16;17;20;27;2;14;27;17;16;2;3;20
266;18/02/2020;1;3;10;14;17;30;31;1;14;30;1;3;10;31;17
267;20/02/2020;1;2;6;9;13;20;30;0;20;13;30;9;2;1;6
268;22/02/2020;2;3;14;16;17;21;29;1;16;2;21;3;29;14;17
269;26/02/2020;1;4;6;9;26;27;31;0;6;31;26;1;9;4;27
270;27/02/2020;1;2;3;4;24;27;28;2;3;4;24;28;2;27;1
271;29/02/2020;7;15;17;20;21;24;29;0;21;7;24;17;29;15;20
272;03/03/2020;3;5;6;10;12;16;21;0;21;3;5;16;12;10;6
273;05/03/2020;3;11;12;19;20;26;28;0;11;20;12;3;28;26;19
274;07/03/2020;2;3;4;6;8;10;30;3;3;8;10;30;6;2;4
275;10/03/2020;7;10;12;14;24;27;28;0;24;27;12;10;28;7;14
276;12/03/2020;4;5;15;16;18;27;30;0;27;15;18;5;4;30;16
277;14/03/2020;2;3;10;13;21;22;31;0;2;31;13;22;3;10;21
278;17/03/2020;5;8;13;21;22;24;26;0;8;21;26;13;5;24;22
279;19/03/2020;3;7;10;13;24;25;28;0;13;10;7;3;25;24;28
280;21/03/2020;2;3;10;13;17;24;28;4;2;13;10;28;3;17;24
281;24/03/2020;5;7;9;14;24;26;31;1;26;24;14;31;7;9;5
282;26/03/2020;7;8;16;22;23;25;31;0;31;25;8;7;22;16;23
283;28/03/2020;2;8;17;20;21;22;24;1;8;2;21;17;20;24;22
